address,name_legit,name_patched,mnemonic_preview_legit,mnemonic_preview_patched
4218352,sub_405DF0,sub_405DF0,push mov push mov mov mov mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov mov mov mov mov stx mov mov nop pop mov add icall,jcnd goto goto jcnd goto jcnd das rol insb retf hnt jbe push adc jz cli xchg das rol mov mov stosd test vpsubq add ja retn ext cfshl mov mov und ext nop pop ldx add icall mov mov or nop push mov mov sub ldx xdu cfadd ofadd add cfadd ofadd or or add setz setp sets mov mov call mov mov ldx mov ext cfshl mov mov und mov mov mov mov mov mov stx mov add mov
4219232,sub_406160,sub_406160,jcnd push mov push mov mov cmp jnz mov call mov mov mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov mov mov ldx mov nop pop mov icall,jcnd goto goto jz cli xchg das rol retf mov mov call mov mov ldx mov ext cfshl mov mov und nop pop ldx add icall
4219264,?clear@?$deque@PBVShader@@V?$allocator@PBVShader@@@std@@@std@@QAEXXZ_0,sub_406180,push mov push push mov push push mov xor push lea mov mov mov call mov mov pop mov pop retn mov mov mov und und und mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov nop pop nop pop mov icall mov lea mov xor call mov jmp,jcnd jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto jz cli mov xor scasb fcmovb lds scasd stosb xor sbb lahf pop jnp xchg jnp les pop aam scasb fcmovb js xchg push shr cmp mov mov mov call mov mov mov mov add ldx mov xor mov mov setz setp sets stx mov mov ldx setb seto sub setz setp sets mov add lnot mov.fpu mov mov sub ldx mov add ldx mov mov ldx setb seto
4219328,sub_4061C0,sub_4061C0,jcnd goto push mov push mov mov mov cmp jz mov mov jmp mov call mov mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov mov mov mov add stx mov mov add ldx mov setb seto sub setz setp sets mov mov mov mov sub ldx mov mov mov mov mov stx mov mov mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov nop pop mov,jcnd goto jz cli xchg das rol retf cli scasb add mov mov call mov mov ldx mov ext cfshl mov mov und nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov call
4219392,sub_406200,sub_406200,push mov mov add pop retn mov mov mov ldx mov mov mov ldx cfadd ofadd add setz setp sets mov nop pop mov icall,jcnd jz goto jcnd jcnd goto goto goto goto jz cli push lodsd test cmpsb mov or jbe jz cli mov add cdq scasd push cli mov mov mov mov call nop push mov mov ldx mov mov add sub mov mov and mov mov setz setp sets mov mov ldx mov mov ldx setb seto sub setz setp sets mov add add mov mov mov mov sub ldx or mov mov setz setp sets stx mov mov or mov
4220912,sub_4067F0,sub_4067F0,push mov push mov mov call add mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall,jcnd goto jcnd jcnd goto goto jz cli xchg das rol insb retf cmc fxch4 retn add jz cli xchg das rol mov push jnp fistp push add xchg into mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall lnot ext nop pop mov add ijmp mov mov ldx cfadd ofadd add setz setp sets mov mov mov call mov mov ldx mov ext cfshl mov mov und mov mov nop
4220944,sub_406810,sub_406810,push mov push mov mov call mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call nop pop mov icall,jcnd goto jcnd jcnd jcnd goto goto jcnd jcnd jcnd goto goto scasb jo shr push mov mov add jz cli xchg das rol retf aam jnb les add in sti call cmp xchg das rol push jnp jp insb retf jz cli xchg das rol insb retf jbe movsd scasd call sti call cmp cmp insb mov insb mov mov ldx setb seto sub setz setp sets mov add mov mov mov mov ldx mov cfshr shr und setz
4223824,sub_407350,sub_407350,jcnd goto push mov sub push mov mov cmp jz mov mov mov mov mov mov mov mov call mov call jmp xor pop mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov sub ldx mov mov mov add ldx mov setb seto sub setz setp sets mov mov mov mov sub ldx mov mov mov add ldx mov mov mov sub ldx mov mov mov add ldx mov mov mov ldx mov,jcnd goto goto jz cli cmp insb retf add mov mov call mov mov setb seto sub setz setp sets ext nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov
4224576,sub_407640,sub_407640,push mov push mov mov call mov pop retn mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call nop pop mov icall,jcnd jcnd jcnd jcnd jcnd goto goto jcnd goto jz cli xchg das rol insb retf call cmp mov cmp popa scasd jb scasb fcmovb lds cli fimul inc sbb fld scasd into mov arpl jge fcmovb js cmp mov jno cmp scasb fcmovb or push mov mov scasb jno aad mov pop lds add test sbb push sbb test jmp mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add ijmp mov
4225440,??0wxANIHandler@@QAE@$$QAV0@@Z_0_1,sub_4079A0,push mov push mov mov push mov call mov mov mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov nop push mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov mov mov mov mov stx mov mov sub ldx mov nop pop mov add icall,cli cmp sbb arpl sal push xchg cli outsd push movsd imul dec mov fcmovb aad dec mov jnz insb retf push jmp jz cli xchg das rol mov push jnp fistp lahf mov push jnp add fst rol les add in sti call cmp xchg das rol retf add push mov cli scasb add in sti call
